1.00000, 6.00000, 4.00000, 0, 1169.00000, 5.00000, 5.00000, 4.00000, 3, 0, 4.00000, 21, 67.00000, 43, 2, 2.00000, 3.00000, 1.00000, 1, 0, 1.
2.00000, 48.00000, 2.00000, 0, 5951.00000, 1.00000, 3.00000, 2.00000, 2, 0, 2.00000, 21, 22.00000, 43, 2, 1.00000, 3.00000, 1.00000, 0, 0, 0.
4.00000, 12.00000, 4.00000, 1, 2096.00000, 1.00000, 4.00000, 2.00000, 3, 0, 3.00000, 21, 49.00000, 43, 2, 1.00000, 2.00000, 2.00000, 0, 0, 1.
1.00000, 42.00000, 2.00000, 2, 7882.00000, 1.00000, 4.00000, 2.00000, 3, 1, 4.00000, 22, 45.00000, 43, 3, 1.00000, 3.00000, 2.00000, 0, 0, 1.
1.00000, 24.00000, 3.00000, 3, 4870.00000, 1.00000, 3.00000, 3.00000, 3, 0, 4.00000, 24, 53.00000, 43, 3, 2.00000, 3.00000, 2.00000, 0, 0, 0.
4.00000, 36.00000, 2.00000, 1, 9055.00000, 5.00000, 3.00000, 2.00000, 3, 0, 4.00000, 24, 35.00000, 43, 3, 1.00000, 2.00000, 2.00000, 1, 0, 1.
4.00000, 24.00000, 2.00000, 2, 2835.00000, 3.00000, 5.00000, 3.00000, 3, 0, 4.00000, 22, 53.00000, 43, 2, 1.00000, 3.00000, 1.00000, 0, 0, 1.
2.00000, 36.00000, 2.00000, 4, 6948.00000, 1.00000, 3.00000, 2.00000, 3, 0, 2.00000, 23, 35.00000, 43, 1, 1.00000, 4.00000, 1.00000, 1, 0, 1.
4.00000, 12.00000, 2.00000, 0, 3059.00000, 4.00000, 4.00000, 2.00000, 1, 0, 4.00000, 21, 61.00000, 43, 2, 1.00000, 2.00000, 1.00000, 0, 0, 1.
2.00000, 30.00000, 4.00000, 3, 5234.00000, 1.00000, 1.00000, 4.00000, 4, 0, 2.00000, 23, 28.00000, 43, 2, 2.00000, 4.00000, 1.00000, 0, 0, 0.
