1, 22.08000, 11.46000, 2, 4, 4, 1.58500, 0, 0, 0.00000, 1, 2, 100.00000, 1213.00000, 0.
0, 22.67000, 7.00000, 2, 8, 4, 0.16500, 0, 0, 0.00000, 0, 2, 160.00000, 1.00000, 0.
0, 29.58000, 1.75000, 1, 4, 4, 1.25000, 0, 0, 0.00000, 1, 2, 280.00000, 1.00000, 0.
0, 21.67000, 11.50000, 1, 5, 3, 0.00000, 1, 1, 11.00000, 1, 2, 0.00000, 1.00000, 1.
1, 20.17000, 8.17000, 2, 6, 4, 1.96000, 1, 1, 14.00000, 0, 2, 60.00000, 159.00000, 1.
0, 15.83000, 0.58500, 2, 8, 8, 1.50000, 1, 1, 2.00000, 0, 2, 100.00000, 1.00000, 1.
1, 17.42000, 6.50000, 2, 3, 4, 0.12500, 0, 0, 0.00000, 0, 2, 60.00000, 101.00000, 0.
0, 58.67000, 4.46000, 2, 11, 8, 3.04000, 1, 1, 6.00000, 0, 2, 43.00000, 561.00000, 1.
1, 27.83000, 1.00000, 1, 2, 8, 3.00000, 0, 0, 0.00000, 0, 2, 176.00000, 538.00000, 0.
0, 55.75000, 7.08000, 2, 4, 8, 6.75000, 1, 1, 3.00000, 1, 2, 100.00000, 51.00000, 0.
1, 33.50000, 1.75000, 2, 14, 8, 4.50000, 1, 1, 4.00000, 1, 2, 253.00000, 858.00000, 1.
1, 41.42000, 5.00000, 2, 11, 8, 5.00000, 1, 1, 6.00000, 1, 2, 470.00000, 1.00000, 1.
1, 20.67000, 1.25000, 1, 8, 8, 1.37500, 1, 1, 3.00000, 1, 2, 140.00000, 211.00000, 0.
1, 34.92000, 5.00000, 2, 14, 8, 7.50000, 1, 1, 6.00000, 1, 2, 0.00000, 1001.00000, 1.
1, 58.58000, 2.71000, 2, 8, 4, 2.41500, 0, 0, 0.00000, 1, 2, 320.00000, 1.00000, 0.
1, 48.08000, 6.04000, 2, 4, 4, 0.04000, 0, 0, 0.00000, 0, 2, 0.00000, 2691.00000, 1.
1, 29.58000, 4.50000, 2, 9, 4, 7.50000, 1, 1, 2.00000, 1, 2, 330.00000, 1.00000, 1.
0, 18.92000, 9.00000, 2, 6, 4, 0.75000, 1, 1, 2.00000, 0, 2, 88.00000, 592.00000, 1.
1, 20.00000, 1.25000, 1, 4, 4, 0.12500, 0, 0, 0.00000, 0, 2, 140.00000, 5.00000, 0.
0, 22.42000, 5.66500, 2, 11, 4, 2.58500, 1, 1, 7.00000, 0, 2, 129.00000, 3258.00000, 1.
0, 28.17000, 0.58500, 2, 6, 4, 0.04000, 0, 0, 0.00000, 0, 2, 260.00000, 1005.00000, 0.
0, 19.17000, 0.58500, 1, 6, 4, 0.58500, 1, 0, 0.00000, 1, 2, 160.00000, 1.00000, 0.
