1.00000, 5.00000, ?, ?, ?, 40.00000, ?, ?, 2.00000, ?, 11.00000, 1, ?, ?, 1, ?, 1.
2.00000, 4.50000, 5.80000, ?, ?, 35.00000, 1, ?, ?, 1, 11.00000, 1, ?, 2, ?, 2, 1.
?, ?, ?, ?, ?, 38.00000, 2, ?, 5.00000, ?, 11.00000, 2, 1, 1, 1, 1, 1.
3.00000, 3.70000, 4.00000, 5.00000, 2, ?, ?, ?, ?, 1, ?, ?, ?, ?, 1, ?, 1.
3.00000, 4.50000, 4.50000, 5.00000, ?, 40.00000, ?, ?, ?, ?, 12.00000, 1, ?, 1, 1, 1, 1.
2.00000, 2.00000, 2.50000, ?, ?, 35.00000, ?, ?, 6.00000, 1, 12.00000, 1, ?, ?, ?, ?, 1.
3.00000, 4.00000, 5.00000, 5.00000, 2, ?, 2, ?, ?, ?, 12.00000, 2, 1, 0, 1, 1, 1.
3.00000, 6.90000, 4.80000, 2.30000, ?, 40.00000, ?, ?, 3.00000, ?, 12.00000, 1, ?, ?, ?, ?, 1.
2.00000, 3.00000, 7.00000, ?, ?, 38.00000, ?, 12.00000, 25.00000, 1, 11.00000, 1, 1, 1, 1, ?, 1.
1.00000, 5.70000, ?, ?, 0, 40.00000, 2, ?, 4.00000, ?, 11.00000, 2, 1, 2, ?, ?, 1.
3.00000, 3.50000, 4.00000, 4.60000, 0, 36.00000, ?, ?, 3.00000, ?, 13.00000, 2, ?, ?, 1, 2, 1.
2.00000, 6.40000, 6.40000, ?, ?, 38.00000, ?, ?, 4.00000, ?, 15.00000, ?, ?, 2, ?, ?, 1.
2.00000, 3.50000, 4.00000, ?, 0, 40.00000, ?, ?, 2.00000, 0, 10.00000, 1, 0, 1, ?, 1, 0.
3.00000, 3.50000, 4.00000, 5.10000, 1, 37.00000, ?, ?, 4.00000, ?, 13.00000, 2, ?, 2, 1, 2, 1.
1.00000, 3.00000, ?, ?, 0, 36.00000, ?, ?, 10.00000, 0, 11.00000, 2, ?, ?, ?, ?, 1.
2.00000, 4.50000, 4.00000, ?, 0, 37.00000, 2, ?, ?, ?, 11.00000, 1, ?, 2, 1, ?, 1.
1.00000, 2.80000, ?, ?, ?, 35.00000, ?, ?, 2.00000, ?, 12.00000, 1, ?, ?, ?, ?, 1.
1.00000, 2.10000, ?, ?, 2, 40.00000, 1, 2.00000, 3.00000, 0, 9.00000, 1, 1, 1, ?, 0, 0.
1.00000, 2.00000, ?, ?, 0, 38.00000, 0, ?, ?, 1, 11.00000, 1, 0, 0, 0, 0, 0.
2.00000, 4.00000, 5.00000, ?, 1, 35.00000, ?, 13.00000, 5.00000, ?, 15.00000, 2, ?, ?, ?, ?, 1.
2.00000, 4.30000, 4.40000, ?, ?, 38.00000, ?, ?, 4.00000, ?, 12.00000, 2, ?, 2, ?, 2, 1.
2.00000, 2.50000, 3.00000, ?, ?, 40.00000, 0, ?, ?, ?, 11.00000, 1, ?, ?, ?, ?, 0.
3.00000, 3.50000, 4.00000, 4.60000, 1, 27.00000, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 1.
2.00000, 4.50000, 4.00000, ?, ?, 40.00000, ?, ?, 4.00000, ?, 10.00000, 2, ?, 1, ?, 2, 1.
1.00000, 6.00000, ?, ?, ?, 38.00000, ?, 8.00000, 3.00000, ?, 9.00000, 2, ?, ?, ?, ?, 1.
3.00000, 2.00000, 2.00000, 2.00000, 0, 40.00000, 0, ?, ?, ?, 10.00000, 1, ?, 1, 1, 2, 0.
2.00000, 4.50000, 4.50000, ?, 1, ?, ?, ?, ?, 1, 10.00000, 1, 1, 0, ?, 1, 1.
2.00000, 3.00000, 3.00000, ?, 0, 33.00000, ?, ?, ?, 1, 12.00000, 2, ?, ?, 1, 2, 1.
2.00000, 5.00000, 4.00000, ?, 0, 37.00000, ?, ?, 5.00000, 0, 11.00000, 1, 1, 2, 1, 2, 1.
3.00000, 2.00000, 2.50000, ?, ?, 35.00000, 0, ?, ?, ?, 10.00000, 1, ?, ?, 1, 2, 0.
3.00000, 4.50000, 4.50000, 5.00000, 0, 40.00000, ?, ?, ?, 0, 11.00000, 1, ?, 1, ?, ?, 1.
3.00000, 3.00000, 2.00000, 2.50000, 2, 40.00000, 0, ?, 5.00000, 0, 10.00000, 1, 1, 1, 1, 2, 0.
2.00000, 2.50000, 2.50000, ?, ?, 38.00000, 2, ?, ?, ?, 10.00000, 1, ?, ?, ?, ?, 0.
2.00000, 4.00000, 5.00000, ?, 0, 40.00000, 0, ?, 3.00000, 0, 10.00000, 1, 0, 0, ?, 0, 0.
3.00000, 2.00000, 2.50000, 2.10000, 2, 40.00000, 0, 2.00000, 1.00000, 0, 10.00000, 1, 0, 1, 1, 2, 0.
2.00000, 2.00000, 2.00000, ?, 0, 40.00000, 0, ?, ?, 0, 11.00000, 1, 1, 0, 1, 2, 0.
1.00000, 2.00000, ?, ?, 2, 40.00000, 1, 4.00000, 0.00000, 0, 11.00000, 2, 0, 0, 0, 0, 0.
1.00000, 2.80000, ?, ?, 0, 38.00000, 2, 2.00000, 3.00000, 0, 9.00000, 1, 1, 1, ?, 0, 0.
3.00000, 2.00000, 2.50000, 2.00000, ?, 37.00000, 2, ?, ?, ?, 10.00000, 1, ?, ?, 1, 0, 0.
2.00000, 4.50000, 4.00000, ?, 0, 40.00000, ?, ?, 4.00000, ?, 12.00000, 1, 1, 2, 1, 1, 1.
