bigartm.exe --write-scores scores.txt --use-batches pubmed --use-dictionary pubmed.dict --score "perplexity !pubmed.dict" sparsitytheta sparsityphi peakmemory --topics 1000 --time-limit 18000000
Iteration;Time(ms);perplexity !pubmed.dict;sparsitytheta;sparsityphi;peakmemory
1;486125;131080.52683950018;2.8048780487804878e-009;0;5253181440
2;477969;8337.8872897759884;6.5853658536585362e-009;0;5508034560
3;481274;5095.9059400846418;9.6829268292682921e-007;8.0471912820912773e-006;5526286336
4;478414;2339.5788212212506;0.0005965565853658537;0.010770041760314231;5538562048
5;483649;1388.8116750073618;0.0062990112195121951;0.12936336436405918;5538562048
6;477226;981.72711437164844;0.027314389268292685;0.30256573527222197;5538562048
7;479552;761.82476033770047;0.084713317926829262;0.45039343320831238;5538562048
8;482739;633.39412964602889;0.20215653134146341;0.57544942322554116;5538562048
9;483854;561.75295261049621;0.35370106414634145;0.67572251015647711;5538562048
10;483856;522.86952546815451;0.49092725329268294;0.75214243883071119;5538562048
11;489455;499.85914503306901;0.60240565951219516;0.80912239529788788;5538562048
12;488133;484.21598294088147;0.68670686085365851;0.85145125245492514;5538562048
13;486484;473.62734179601807;0.74178745560975612;0.88312490517076347;5539287040
14;485844;466.68278720877134;0.77849091939024395;0.90707346695688551;5543845888
15;486164;461.62356461061927;0.80893839085365848;0.92542803258580719;5543845888
16;492292;457.24837237689763;0.83541696329268289;0.93957439220663197;5547077632
17;488341;453.39140868750667;0.85788488768292681;0.95058349581333357;5547077632
18;489529;450.03106080553925;0.87566690463414631;0.95920589465623962;5547077632
19;486600;447.1848191272336;0.89045495780487804;0.96601101791652189;5547077632
20;491408;444.66358935858534;0.90245014780487809;0.9714252391114766;5547077632
21;490649;442.56718890727916;0.91049064865853657;0.97575345816524039;5552709632
22;490726;440.90239587772953;0.91649190012195125;0.97924717284799667;5552709632
23;486126;439.5519143712753;0.92065733048780485;0.98206545521578525;5552709632
24;491553;438.44186542637163;0.92416032646341462;0.98437818254007647;5552709632
25;485670;437.4138957040563;0.92711894609756096;0.98627481689981067;5552709632
26;488495;436.26663794768717;0.92917054792682929;0.98784102720446954;5552709632
27;492498;435.51883861271853;0.93098956951219514;0.98915472586374364;5552709632
28;488520;434.70388587672153;0.93267797451219514;0.99026040285586669;5552709632
29;490282;433.78320213258291;0.93442297012195119;0.99119777656459374;5552709632
30;490573;433.03844990166476;0.93624358951219511;0.99200536006749718;5552709632
31;486477;432.35680627578773;0.9377017178048781;0.99269541912750014;5558665216
32;486115;431.82336224318919;0.9389797732926829;0.9932864303793878;5558665216
33;486233;431.30167448981263;0.94120372756097559;0.99380157824209636;5558665216
34;498368;430.67961444102741;0.94247475914634149;0.99424523017803079;5558665216
35;489399;430.26337895617826;0.94292770304878049;0.99463146699942573;5558665216
36;490068;429.93887855162831;0.94337581646341462;0.99496372737392147;5558665216
37;487599;429.65165048271274;0.94352530146341462;0.99525507823855142;5560655872
bigartm.exe --write-scores scores.txt --use-batches pubmed --use-dictionary pubmed.dict --score "perplexity !pubmed.dict" sparsitytheta sparsityphi peakmemory --topics 1000 --time-limit 18000000 --kappa 0.5 --tau0 64 --update-every 24
Iteration;Time(ms);perplexity !pubmed.dict;sparsitytheta;sparsityphi;peakmemory
1;1006971;1371.9687141538316;0.031180001951219512;9.2170472834525635e-008;4841746432
2;1031084;618.69235141099318;0.37124803109756099;3.1054359308863256e-006;4923916288
3;1046403;545.15138267263308;0.70384419182926827;6.4023028438135886e-005;4923916288
4;1058595;515.51076016046954;0.8380944358536585;0.00090094510184837251;4955693056
5;1063361;500.3389795257807;0.89048981878048783;0.0092188906929092547;4955693056
6;1070947;491.66988329117356;0.91042358304878046;0.059463426047375624;4961861632
7;1086377;486.57919062019818;0.91882872243902436;0.23918580858319805;4969435136
8;1096193;482.88390201272557;0.92607749524390248;0.5368283431294002;4969435136
9;1086858;479.8211185796597;0.93211598780487803;0.75841293789837139;4992864256
10;1076030;477.2674456530782;0.93715092951219514;0.86836175492580281;4992864256
11;1071910;475.04931284876949;0.94116775317073176;0.92131206795090859;4992864256
